estimator,estimate,ci_low,ci_high,target,panel,design_label,iv_estimate,target_gap,first_stage_F,pass_fail,first_failed_diagnostic,source,plot_label,rho_alpha,rho_z,lambda_z,n_rows,residualizer,mean_estimate,bias,rmse,median_abs_error,ci_coverage,median_first_stage_f,weak_iv_failure_rate,n_rep,label,gap,ci_low_gap,ci_high_gap,status,display_label,plot_gap,offscale,artifact_provenance
OLS raw terminal,1.3414579856149185,1.331855563787362,1.351060407442475,0.42,estimator_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
OLS residual,1.1909964332746212,1.1761030542138606,1.2055514451596474,0.42,estimator_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
naive IV,1.2532592416480124,1.2377663584191343,1.2687521248768905,0.42,estimator_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
linear CIV,1.200757051832295,1.179053301113142,1.222460802551448,0.42,estimator_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
flexible cross-fit CIV,0.4530075906045877,0.4029101613183483,0.503105019890827,0.42,estimator_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,,,0.2058944218744434,invalid_design_ablation,native pre-assignment,0.2056862408424908,-0.0002081810319525,40.823683956724906,pass,pass,native_assignment_frontier,valid randomized Z,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,,,0.2058944218744434,invalid_design_ablation,pre-state adaptive; conditioned,0.2056862408424908,-0.0002081810319525,34.60915196638225,pass,pass,native_assignment_frontier,valid pre-state adaptive,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,,,0.2058944218744434,invalid_design_ablation,weak,3.0092569244296103,2.8033625025551667,0.0212621818593135,fail,weak relevance,native_assignment_frontier,weak Z,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,,,0.2058944218744434,invalid_design_ablation,descendant,10.320250482659349,10.114356060784903,1.0408283755644314,fail,descendant/post-treatment,native_assignment_frontier,descendant control,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,,,0.2058944218744434,invalid_design_ablation,balance failure,0.2056862408424908,-0.0002081810319525,4314.963521431497,fail,balance/exclusion,native_assignment_frontier,alpha-correlated natural IV,,,,,,,,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
