panel,K,schedule_type,fixed_parent_lots,relative_time,child_times_relative,component,mean,ci_low,ci_high,n,artifact_provenance,sign_convention
fixed_parent_do0_subtracted_path,1,block,-130,0.0,0,do0_subtracted_price_path,0.0,0.0,0.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,5.0,0,do0_subtracted_price_path,2.6,0.0,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,10.0,0,do0_subtracted_price_path,2.5425,0.0,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,15.0,0,do0_subtracted_price_path,2.5125,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,20.0,0,do0_subtracted_price_path,2.5375,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,25.0,0,do0_subtracted_price_path,2.5575,-0.012499999999999734,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,30.0,0,do0_subtracted_price_path,2.5975,-0.012499999999999734,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,35.0,0,do0_subtracted_price_path,2.5225,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,40.0,0,do0_subtracted_price_path,2.5475,0.0,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,45.0,0,do0_subtracted_price_path,2.59,0.0,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,50.0,0,do0_subtracted_price_path,2.4875,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,55.0,0,do0_subtracted_price_path,2.4425,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,60.0,0,do0_subtracted_price_path,2.4925,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,65.0,0,do0_subtracted_price_path,2.515,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,70.0,0,do0_subtracted_price_path,2.51,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,75.0,0,do0_subtracted_price_path,2.4975,0.0,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,80.0,0,do0_subtracted_price_path,2.4525,-0.5124999999999997,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,85.0,0,do0_subtracted_price_path,2.455,-0.5,6.012500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,90.0,0,do0_subtracted_price_path,2.4075,-0.012499999999999734,6.512500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,95.0,0,do0_subtracted_price_path,2.455,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,100.0,0,do0_subtracted_price_path,2.455,-0.5124999999999997,6.025000000000006,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,105.0,0,do0_subtracted_price_path,2.475,-0.012499999999999734,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,110.0,0,do0_subtracted_price_path,2.5,0.0,6.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,115.0,0,do0_subtracted_price_path,2.5125,-0.024999999999999467,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,1,block,-130,120.0,0,do0_subtracted_price_path,2.4775,-1.0,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,2,twap,-130,0.0,0;1,do0_subtracted_price_path,0.0,0.0,0.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,2,twap,-130,5.0,0;1,do0_subtracted_price_path,3.475,0.0,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,2,twap,-130,10.0,0;1,do0_subtracted_price_path,3.13,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
