panel,K,schedule_type,fixed_parent_lots,relative_time,child_times_relative,component,mean,ci_low,ci_high,n,artifact_provenance,sign_convention,arm,estimate,target,target_gap,ci_width,support_rate,clipping_rate,sample_size,clusters,inference_unit,ci_method,first_stage_F,clone_integrity_pass,fseq_balance_ticks,abs_fseq_balance_ticks,new_information,sequential_mechanics,terminal_response,abs_terminal,abs_mechanics,retention_ratio
fixed_parent_path,1.0,block,-130.0,0.0,0,do0_subtracted_price_path,0.0,0.0,0.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,5.0,0,do0_subtracted_price_path,2.6,0.0,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,10.0,0,do0_subtracted_price_path,2.5425,0.0,7.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,15.0,0,do0_subtracted_price_path,2.5125,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,20.0,0,do0_subtracted_price_path,2.5375,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,25.0,0,do0_subtracted_price_path,2.5575,-0.0124999999999997,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,30.0,0,do0_subtracted_price_path,2.5975,-0.0124999999999997,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,35.0,0,do0_subtracted_price_path,2.5225,0.0,6.0,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,40.0,0,do0_subtracted_price_path,2.5475,0.0,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
fixed_parent_path,1.0,block,-130.0,45.0,0,do0_subtracted_price_path,2.59,0.0,6.5,200.0,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_001/summary_metaorder_step030_slices001_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)",,,,,,,,,,,,,,,,,,,,,
