rho_alpha,rho_z,lambda_z,n_rows,residualizer,mean_estimate,bias,rmse,median_abs_error,ci_coverage,median_first_stage_f,weak_iv_failure_rate,n_rep
0.0,0.0,0.05,1200,flexible_crossfit,0.17022972071192397,-0.24977027928807602,3.942985298750654,0.4737146390566396,0.984,1.0120984902080385,0.982,500
0.0,0.0,0.05,1200,linear_lag,0.3047058108532967,-0.1152941891467034,7.172812667254882,0.4716077806075626,0.984,1.031932827408801,0.98,500
0.0,0.0,0.05,3000,flexible_crossfit,0.3087251032536987,-0.11127489674630137,2.405796089476557,0.29935827427402406,0.96,2.609818470753627,0.916,500
0.0,0.0,0.05,3000,linear_lag,0.4812117828064945,0.06121178280649452,3.2409650301859085,0.31098858760644377,0.964,2.6822828771940457,0.922,500
0.0,0.0,0.2,1200,flexible_crossfit,0.3958021297582471,-0.02419787024175289,0.20306286410223737,0.11421337961424896,0.96,15.978539520716646,0.178,500
0.0,0.0,0.2,1200,linear_lag,0.39585082035968666,-0.024149179640313295,0.2031663665221035,0.11560451631539598,0.96,16.315466168302187,0.176,500
0.0,0.0,0.2,3000,flexible_crossfit,0.4157244121283954,-0.004275587871604573,0.11692943166304327,0.07460587914628519,0.948,41.519717796811186,0.0,500
0.0,0.0,0.2,3000,linear_lag,0.41575159282003266,-0.004248407179967319,0.11672059039025136,0.07424197460207885,0.95,41.881866847225325,0.0,500
0.0,0.0,0.5,1200,flexible_crossfit,0.41586429192353824,-0.0041357080764617546,0.07216003564821885,0.04830832142216085,0.95,101.50147515815388,0.0,500
0.0,0.0,0.5,1200,linear_lag,0.41576270172757773,-0.004237298272422243,0.07208867703028086,0.047047519594645815,0.952,103.40416499658723,0.0,500
0.0,0.0,0.5,3000,flexible_crossfit,0.4205772725450932,0.0005772725450932075,0.04487263400093097,0.029443322655945625,0.95,258.15540809170733,0.0,500
0.0,0.0,0.5,3000,linear_lag,0.4205750217566059,0.0005750217566059107,0.04477436995327677,0.029930258328923487,0.938,259.79988066035867,0.0,500
0.0,0.62,0.05,1200,flexible_crossfit,0.20234306016898004,-0.21765693983101989,11.159552505620958,0.49778011101141306,0.986,0.9857944921442733,0.984,500
0.0,0.62,0.05,1200,linear_lag,0.6648874477429179,0.2448874477429178,4.835630652481061,0.4656417174317081,0.986,1.0269131602898103,0.98,500
0.0,0.62,0.05,3000,flexible_crossfit,0.3450503678611394,-0.07494963213886052,2.7600723162304934,0.30194126093893003,0.958,2.637768880426064,0.92,500
0.0,0.62,0.05,3000,linear_lag,0.4574015079338252,0.03740150793382519,3.827375660316947,0.30312699672203774,0.96,2.7056133278305565,0.922,500
0.0,0.62,0.2,1200,flexible_crossfit,0.39586971588829345,-0.024130284111706507,0.20335914509227337,0.11641081429657615,0.958,15.984076792035406,0.182,500
0.0,0.62,0.2,1200,linear_lag,0.39534398534983384,-0.02465601465016616,0.2029447305561652,0.11705667144975895,0.96,16.31306571566485,0.178,500
0.0,0.62,0.2,3000,flexible_crossfit,0.41585851605732005,-0.004141483942679926,0.11733033614986627,0.07431403034055789,0.944,41.62311358593428,0.0,500
0.0,0.62,0.2,3000,linear_lag,0.4157526434708514,-0.004247356529148552,0.11684012685661642,0.07577346096662374,0.952,41.9060706060274,0.0,500
0.0,0.62,0.5,1200,flexible_crossfit,0.41588343492927515,-0.004116565070724816,0.07229700913412089,0.047536188082555636,0.952,101.33490161381138,0.0,500
0.0,0.62,0.5,1200,linear_lag,0.41559576517499974,-0.004404234825000191,0.07211309894432931,0.04640186242735317,0.952,103.5934963313558,0.0,500
0.0,0.62,0.5,3000,flexible_crossfit,0.42063171177037534,0.0006317117703753129,0.04497919871562391,0.028660671199480375,0.944,257.8049882111121,0.0,500
0.0,0.62,0.5,3000,linear_lag,0.42061139721882007,0.0006113972188200608,0.044825405026178745,0.02932298948297296,0.94,259.50345437111645,0.0,500
0.0,0.85,0.05,1200,flexible_crossfit,0.7174275466804275,0.2974275466804276,9.43187792606701,0.4785749949647165,0.986,1.0098961081772018,0.982,500
0.0,0.85,0.05,1200,linear_lag,-0.5623661299395606,-0.9823661299395606,22.047997355513008,0.4629102848267901,0.986,1.0315908727945735,0.98,500
