x,x_min,x_max,mean,ci_low,ci_high,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome,outcome_label
-420.0,-420.0,-420.0,4.722916666666666,4.612729830717902,4.8331035026154305,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.3270833333333334,3.2514741328130454,3.4026925338536214,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.472916666666667,2.4290539286006063,2.5167794047327274,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.725,1.7010954402896057,1.7489045597103945,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,1.0416666666666667,1.027118814910431,1.0562145184229024,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.6291666666666667,0.6095668087455857,0.6487665245877476,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-10.0,-10.0,-10.0,0.29583333333333334,0.27344777163014305,0.3182188950365236,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
10.0,10.0,10.0,-0.2791666666666667,-0.3019590477427952,-0.25637428559053815,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
30.0,30.0,30.0,-0.61875,-0.6378050481259276,-0.5996949518740724,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
60.0,60.0,60.0,-1.040625,-1.0544612548111483,-1.0267887451888515,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
120.0,120.0,120.0,-1.7322916666666666,-1.7565946285440528,-1.7079887047892803,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
200.0,200.0,200.0,-2.482291666666667,-2.5268069443549273,-2.4377763889784063,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
300.0,300.0,300.0,-3.325,-3.400515454413345,-3.2494845455866552,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
420.0,420.0,420.0,-4.73125,-4.842017843615341,-4.620482156384659,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-420.0,-420.0,-420.0,4.575,4.187156518092803,4.962843481907197,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.2583333333333333,2.9883984077148398,3.528268258951827,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.3385416666666665,2.144102060305782,2.532981273027551,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.5729166666666667,1.438215240403186,1.7076180929301474,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,0.9322916666666666,0.84562413149574,1.0189592018375933,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.5583333333333333,0.49904678605650654,0.6176198806101602,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-10.0,-10.0,-10.0,0.31666666666666665,0.27490780971301404,0.35842552362031926,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
10.0,10.0,10.0,-0.30833333333333335,-0.3505893765091431,-0.26607729015752357,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
30.0,30.0,30.0,-0.55625,-0.6138373957621032,-0.4986626042378968,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
60.0,60.0,60.0,-0.9510416666666667,-1.037665813782005,-0.8644175195513285,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
120.0,120.0,120.0,-1.5260416666666667,-1.6579211712130884,-1.3941621621202451,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
200.0,200.0,200.0,-2.2916666666666665,-2.485414572425284,-2.097918760908049,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
300.0,300.0,300.0,-3.2666666666666666,-3.540409314689081,-2.9929240186442523,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
420.0,420.0,420.0,-4.759375,-5.152166100140299,-4.366583899859702,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-420.0,-420.0,-420.0,4.480208333333334,4.118391378531544,4.842025288135123,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.1645833333333333,2.9193618621631447,3.409804804503522,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.169791666666667,2.0058077289894083,2.3337756043439253,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.4125,1.3038649458848453,1.521135054115155,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,0.7947916666666667,0.7222398213125006,0.8673435120208327,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.38229166666666664,0.33416913188237685,0.43041420145095644,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
